,current_ratio,quick_ratio,cash_ratio,working_capital_to_total_assets,debt_to_equity,debt_to_assets,long_term_debt_ratio,operating_margin,net_margin,roa,roe,asset_turnover,revenue_growth_qoq,earnings_growth_qoq,cfo_to_net_income,accruals_ratio,liquidity_profile_score,solvency_profile_score,profitability_profile_score,growth_quality_profile_score,overall_financial_health_score,rel_return_5d,rel_return_10d,rel_return_21d,realized_vol_21d,realized_vol_63d,vol_ratio_21d_63d,beta_63d_to_sector,overnight_gap_1d,abs_return_shock_1d,drawdown_21d,return_zscore_21d,volume_ratio_20d,log_volume,abnormal_volume_flag,sec_sentiment_score,sec_positive_prob,sec_negative_prob,sec_neutral_prob,sec_sentiment_abs,sec_sentiment_change_prev,sec_positive_change_prev,sec_negative_change_prev,sec_chunk_count,sec_log_chunk_count,days_since_prior_event,days_since_prior_same_event_type,current_filing_fundamentals_available,fund_snapshot_is_current_event
current_ratio,1.0,-0.7259633349286194,0.34954519079529534,0.16779029931688613,-0.007004643047318384,0.06587788954896846,-0.05161010196154003,0.13667175315013552,-0.022570060248490995,-0.03240495069757815,0.0073609569656940595,-0.05140712252840038,0.20462453753106866,0.14971443311208188,0.18924414338516998,0.07082711197320085,0.5922692292584631,0.04030603549180129,0.026199506764648575,-0.018774551041610965,0.2530388758056873,0.002766469735565396,-0.0038757173456051364,0.01378748587270682,-0.059257389254672534,-0.04764687170847639,-0.05768520425017032,0.008891056186769521,-0.03336368754274265,-0.05698114637478063,0.05037089415219805,-0.04341053961605238,-0.05008303445267192,-0.1324226492046725,-0.06067070447877691,0.09227150939535908,0.04824999004708248,-0.09575808467024896,0.06186120116101812,-0.1001063634432565,0.0021935435540228233,-0.014245918139556665,-0.010656876117966731,0.03327950288896166,0.04594155534338708,0.00409023966198583,0.06086872410953233,-0.0216862812728782,-0.0216862812728782
quick_ratio,-0.7259633349286194,1.0,-0.3590874030294204,-0.14236162343862674,-0.08324502163136027,0.00705343016923054,-0.021027227340218547,-0.14370448161849206,0.02017194265663845,-0.06374763886085495,0.07631931951864605,-0.12543407910982,-0.3162319676327419,-0.24500546761071862,-0.14967476236079583,-0.03497143112902976,-0.5134515959992353,0.0005880829489703681,0.04042204077272336,-0.02302319356785917,-0.18855881537876912,0.02968094442211038,0.022333842165418834,-0.018731052675953107,-0.033059526657376735,-0.006630813177865072,-0.025087907129135174,-0.016091293077401186,0.035009141126630595,0.01872858634153576,0.04179305627982312,0.02646685040976994,0.05522891331258582,0.15364523796091778,0.07375491911784722,-0.046041296746377657,-0.03727388823085995,0.0412696928261533,-0.01855947287656168,0.06218821929830507,0.001444381666216961,0.02523303907977638,0.01164270338081877,0.011676137099707174,0.005566708017892129,-0.006823107530451815,-0.08612623422202315,0.06513204137896363,0.06513204137896363
cash_ratio,0.34954519079529534,-0.3590874030294204,1.0,0.16530655226803992,0.04968947948721549,-0.05995544452497344,-0.11072315034736097,0.12838741664473635,0.02610240477852535,-0.0946082194477248,-0.06260631619086872,-0.10312742561155419,0.3305486260059755,0.27979497895225025,-0.06230884816686214,0.14539421678528944,0.5807062729210677,0.15076134386851306,0.06507749695615975,0.0028203310410296863,0.3339720871896177,-0.028340626589691404,-0.011271832005940322,-0.01712559441152331,-0.08378452620973975,-0.09534581346800862,-0.04183302570329142,-0.005412380124395687,-0.00814292861664166,-0.0910717256362619,0.0071351449357396545,-0.043673407306343004,-0.06296523151569179,-0.11077453796475205,-0.049800893128907314,0.016601640896299272,-0.05477720105433178,-0.06502642071023869,0.10254991626128979,-0.03409965060663621,-0.013768949595379276,-0.08801474515000973,-0.03816027494410886,0.10579077866821843,0.07727485862661229,0.024256132830857074,0.1711662642820277,-0.10442052629974663,-0.10442052629974663
working_capital_to_total_assets,0.16779029931688613,-0.14236162343862674,0.16530655226803992,1.0,0.0030477214656248123,-0.10775753985003272,-0.56698949158604,0.04807057600647574,0.03950233337451691,-0.4851114084638927,-0.03275811727377969,-0.5794894521612003,0.1448603011359708,0.10316846336471938,0.03665286919779908,0.5861614510312587,0.29202962615181216,0.1428284484045019,-0.01150056260222188,-0.1186430997508878,0.11725422838142588,0.018243387179678397,0.031392053564273596,0.030706038331734173,0.03369410678238862,-0.023893732709752633,0.06178116201857487,-0.025115071738812514,0.033125702891150494,0.03543261561425391,-0.0037533878362427486,-0.007282965392888361,-0.04226515272023197,0.031026082135584828,-0.03940331718527772,-0.05619725859487781,-0.09781765184527942,0.0024587484551334203,0.06724498951839576,0.05422261379579736,-0.011015382067638805,-0.03683134256344861,-0.01110961054922213,0.12159564018054554,0.12366698185357171,0.034399995240212554,0.057326612147999945,-0.08195900131559797,-0.08195900131559797
debt_to_equity,-0.007004643047318384,-0.08324502163136027,0.04968947948721549,0.0030477214656248123,1.0,0.012929299679111479,-0.018522261890994585,-0.0025066216700903566,0.007622723286252528,-0.017855250540890214,-0.035311998295762294,-0.014931893097196915,-0.008129104082354477,0.049688542821462504,0.011119409157408548,0.015544469285948714,0.04936353991737768,-0.14518544784124673,0.022986534616088836,-0.04030993330112391,-0.05146691929200319,-0.0014974195835060213,-0.03231360052993838,-0.02529796332666776,0.021439021330808872,-0.01580147654917827,0.03631749543229385,-0.02467671537382998,-0.010825905131473563,-0.017602198501168544,-0.014504003601605834,0.06540012933346294,-0.051073468340900416,-0.06511050368397983,-0.01845280072360556,-0.042421736275729455,0.010932000560355096,0.06312825379605526,-0.06450521597177687,0.040568801097995946,0.05828718603799878,0.027479004483088317,-0.05843450263280223,0.04037244787682733,0.03393963569108548,0.006692194791852211,0.013364413345698494,-0.012953355666330173,-0.012953355666330173
debt_to_assets,0.06587788954896846,0.00705343016923054,-0.05995544452497344,-0.10775753985003272,0.012929299679111479,1.0,0.28862464110075037,-0.03236144676854251,-0.02720591330199493,0.1730000959910969,0.0060931232277624744,0.24843827802852275,-0.041717590087387346,-0.016160499081414505,0.007137757205994183,-0.2654057794518116,-0.05505045814005206,-0.35129226975846234,-0.17847739667011503,0.0822425110698005,-0.20815542685297966,0.018320197375378575,-0.0007354416212127068,-0.025185713873033852,0.0452664521669715,0.0650755475121614,0.0006981451225939984,0.0247931585367282,-0.034690602628672206,0.030532675581349207,-0.0074716168833172045,0.0022682764833128494,0.03172076000991109,0.004061050356363758,0.014514712791471814,-0.015934740761024968,0.03987061073221365,0.04414894751184064,-0.06784139676259174,0.01626570218989769,-0.0055900744057793255,-0.0025835698459427954,0.004675690438533259,-0.009525673247345533,0.0025173063886052964,0.028511220397792532,-0.02420966744745646,0.021389678931558822,0.021389678931558822
long_term_debt_ratio,-0.05161010196154003,-0.021027227340218547,-0.11072315034736097,-0.56698949158604,-0.018522261890994585,0.28862464110075037,1.0,-0.028756512748945803,-0.021581529055165794,0.3651185873193291,0.008293783493115544,0.41979092293158243,-0.08315463530519426,-0.03864477496394522,-0.037543331934228985,-0.33237712892315124,-0.20175505683773898,-0.22881485866510035,0.014753030831028807,0.09103944059883391,-0.1306818334800854,0.008109879173375524,-0.02766817438550365,-0.01584035958142822,0.03796430670788907,0.1514267652158766,-0.10971608702099593,0.041174469685662365,0.007149610667589968,-0.003674172223456772,-0.016663415462633925,0.025862720067882705,0.07195828491546513,-0.09273283777714703,0.07401724789064586,-0.07660508780518174,0.01932868147203022,0.11464799738659451,-0.123526820211719,0.08740055850166259,-0.025525367274949494,-0.012501642920988695,0.02705890514730282,-0.05352722489272424,-0.05520188113534215,0.005655558832934639,-0.026591811602151773,0.07114579771110686,0.07114579771110686
operating_margin,0.13667175315013552,-0.14370448161849206,0.12838741664473635,0.04807057600647574,-0.0025066216700903566,-0.03236144676854251,-0.028756512748945803,1.0,0.9249418948413131,0.034252093328734794,0.01639344917662732,-0.054532231778477096,-0.13136616633827958,0.06409218179502317,-0.02929312784902637,0.034470933259662384,0.042868364252627904,0.15256195633900152,0.09708385488658268,0.0895353083420053,0.17577375168502807,0.032727291907018737,0.06267536721902815,0.041610507798399546,-0.054290287953727215,0.02504788214036939,-0.11816178967502917,0.035043551379694386,0.033264502671372,-0.011488617708004936,0.07480988549435087,0.010306989977179364,-0.014557045111097625,0.07895597778523138,0.03673949792068469,-0.019344102750254503,0.015182067559638697,0.0346853523800098,-0.0415263096505203,0.010215057016681956,0.027851673765766288,0.030092276987695375,-0.01702374717369258,0.0022379741665480447,0.009537097607517937,-0.0012461506950755506,-0.02234830767023036,0.04856740297418184,0.04856740297418184
net_margin,-0.022570060248490995,0.02017194265663845,0.02610240477852535,0.03950233337451691,0.007622723286252528,-0.02720591330199493,-0.021581529055165794,0.9249418948413131,1.0,0.04809611446967961,0.012048884981011558,-0.04814448108888371,-0.10738309141135784,0.08492963810077157,-0.03325944449937648,0.04459669601261832,-0.02053111763285028,0.1423105089168126,0.12745391288446792,0.1137014802351765,0.1762341542928527,0.03350454190788945,0.06088775530209721,0.03785546096675676,-0.024858701796483796,0.05480032049364478,-0.09982905432330667,0.06153419505524756,0.04259409093434597,0.0005385674757659664,0.05219479510837901,0.01559515566955632,-0.005816653223801641,0.05741866444592194,0.06123188336430427,-0.02128405395216821,0.02990144453000613,0.04695030850565466,-0.06328378898006874,0.015376101171787596,0.027235738836171013,0.03555395659092672,-0.012784702984534425,0.0012514781697706566,0.007378825902851623,-0.0012831764455715447,-0.03382834074659712,0.0611196057745313,0.0611196057745313
roa,-0.03240495069757815,-0.06374763886085495,-0.0946082194477248,-0.4851114084638927,-0.017855250540890214,0.1730000959910969,0.3651185873193291,0.034252093328734794,0.04809611446967961,1.0,0.009069628767156154,0.8422252955603957,0.0012628575218570934,0.047655809709517424,-0.02777610993964174,-0.5232063610134954,-0.12145662783218288,-0.07663825186179005,0.16717290049860076,0.3159329124672629,0.1450024914994797,0.013299137516152262,-0.004409821177683845,-0.014002327087565342,-0.0026974898281379675,-0.001445368502507565,-9.457554887251429e-05,0.0018420315862951568,-0.008063394376447416,-0.023282457723663764,-0.01443826717076585,0.028776321795098356,0.025862881782037873,-0.0387211478495737,0.017864078805847908,0.058166244975819445,0.07759669019352544,-0.02386109804877967,-0.028867149776732038,-0.059491114344718155,-0.013879426927905407,-0.02114383090597689,0.004695223335845626,-0.073446432026636,-0.07338133508881169,-0.006053711795221439,-0.0013338252778564606,0.02686492879188714,0.02686492879188714
roe,0.0073609569656940595,0.07631931951864605,-0.06260631619086872,-0.03275811727377969,-0.035311998295762294,0.0060931232277624744,0.008293783493115544,0.01639344917662732,0.012048884981011558,0.009069628767156154,1.0,0.028022353238310396,0.07381570145608013,0.052381468025825,0.033180938238261924,-0.015693397021762513,-0.011240637075438773,0.12175918102366455,0.012180426458417022,0.08477487629689286,0.09335745287972476,0.015427983194032923,0.023796612363902774,-0.037543424502354844,-0.07334792987189251,-0.07229236753253195,-0.03377273785466549,-0.02351660858663429,-0.016589661844553096,-0.03131022460114004,0.05585973168203344,0.03584539064678871,0.016204585915339395,-0.11649854628365879,0.022850168374890806,0.10843628581642285,0.06716268268992119,-0.10137297084954308,0.05026786329141813,-0.11036615229180839,-0.025930246006885448,-0.0053494358431654225,0.030124077308788095,-0.1025675951606583,-0.11783668111970755,0.008270251660589038,0.013572636754871708,0.048817762035444134,0.048817762035444134
asset_turnover,-0.05140712252840038,-0.12543407910982,-0.10312742561155419,-0.5794894521612003,-0.014931893097196915,0.24843827802852275,0.41979092293158243,-0.054532231778477096,-0.04814448108888371,0.8422252955603957,0.028022353238310396,1.0,0.045592210089037265,0.03822333014594755,-0.02623242175287837,-0.7334361488117223,-0.14247503572243161,-0.1803886185280207,-0.02364866556651015,0.24769136780029835,-0.03833083321298464,-0.0037779468547851835,-0.020339943354997204,-0.01985862452298991,0.03306989449060596,0.0257631624205456,0.012324527637993679,0.005286315491838186,-0.02923167414335793,-0.04255394430872966,-0.038320447696455574,0.03520192848873377,0.031391672414302615,-0.06537184090265033,0.015021270986413938,0.08877174555990215,0.09362640454369874,-0.057014220598031407,-0.006594949938234376,-0.09467107218697499,-0.0020205498660688815,-0.00979585515105866,-0.002815328757297616,-0.09284747160320683,-0.09423276769129227,-0.006846340499496727,0.002645914019357665,-0.0033147177521732343,-0.0033147177521732343
revenue_growth_qoq,0.20462453753106866,-0.3162319676327419,0.3305486260059755,0.1448603011359708,-0.008129104082354477,-0.041717590087387346,-0.08315463530519426,-0.13136616633827958,-0.10738309141135784,0.0012628575218570934,0.07381570145608013,0.045592210089037265,1.0,0.4315267062628178,0.12255580133640658,0.08836226071302158,0.34493545475943305,0.056216138247139134,0.018740908925754203,0.24592155519625353,0.277858792685872,0.03833946996424493,0.04773879066673127,0.05444567507355868,0.04095256221987569,-0.014148405775986294,0.06130743210665317,0.058118315974653605,0.004243972371529715,0.005843563034929339,-0.012781632026070964,-0.0072607917949938944,-0.038139740410170125,-0.11145583172790666,-0.038441261094290954,0.025505143539368908,-0.03256277797219958,-0.06046987565285184,0.08248967013150385,-0.035434705004261616,0.04007985575669074,-0.04686516559941141,-0.09069001645424479,0.08279386142660279,0.04988429734196592,0.08236269651186175,0.27913617683143255,-0.07147948054032295,-0.07147948054032295
earnings_growth_qoq,0.14971443311208188,-0.24500546761071862,0.27979497895225025,0.10316846336471938,0.049688542821462504,-0.016160499081414505,-0.03864477496394522,0.06409218179502317,0.08492963810077157,0.047655809709517424,0.052381468025825,0.03822333014594755,0.4315267062628178,1.0,-0.04426827153399273,-0.006761656157532595,0.2183783808049357,0.11724487035796656,0.2913535105406608,0.2725337747621651,0.3968586451728027,-0.026454697384507803,0.00034940465892360463,0.02780065933220936,-0.021804387787571638,-0.04176027921049366,-0.007725917981844516,0.07317872952325495,0.002647232229744636,-0.06049797831803786,0.017723671336518015,-0.04346695614360503,-0.09064678618116039,-0.009602475169209262,-0.045997909014688296,0.10115555315217158,0.03941715055266107,-0.1130581883779774,0.08471559140365159,-0.1118479595761994,0.0017872534449292895,-0.035414621402354046,-0.026638189861946417,0.04922575514269436,0.03185223696485167,0.052298126638647566,0.16269140832399848,-0.07843757690631535,-0.07843757690631535
cfo_to_net_income,0.18924414338516998,-0.14967476236079583,-0.06230884816686214,0.03665286919779908,0.011119409157408548,0.007137757205994183,-0.037543331934228985,-0.02929312784902637,-0.03325944449937648,-0.02777610993964174,0.033180938238261924,-0.02623242175287837,0.12255580133640658,-0.04426827153399273,1.0,0.027771405569251808,0.13329115751753,-0.04627967069698261,-0.0973585160458632,-0.014553046018785269,-0.026178841426592204,-0.03147578034452753,-0.008454808379635147,-0.0170251476196911,0.014726143148141756,0.00224485361006492,0.013159038050185187,-0.027725425106481866,-0.03980834299310822,0.04176582584307704,-0.03692333307766288,-0.06745687577261396,0.06587504972217831,-0.06697565331593781,0.022744062953113976,0.06826095911544437,0.052456038216471504,-0.05772882888754699,0.02052551952256426,-0.08087423035985139,0.00790770936125429,0.009596242759764461,-0.003992298913676669,0.06497698761564774,0.06717790598430579,0.018739969296173213,-0.014449795884253797,-0.03191878174838475,-0.03191878174838475
