feature,mean_abs_shap,mean_feature_value
cash_ratio,0.26398897,-0.0889532182555891
qfd_v2_roa_zsec,0.2179786,0.1260662783288849
qfd_v2_accruals_ratio_zsec,0.13812649,0.1853000065143035
qfd_v2_debt_to_assets_d1_ranksec,0.1303698,0.5059741230741696
earnings_growth_qoq,0.12324261,1.082387894310362
days_since_prior_event,0.107750274,92.37670731707317
qfd_v2_debt_to_assets_d1,0.10616966,3.0667755726278276
qfd_av_latest_surprise_vs_trailing_pct,0.10212547,-0.12004762195121921
qfd_v2_operating_margin_accel,0.097587585,0.0074061960013761695
av_latest_quarterly_eps_estimate_before_event,0.096907444,1.154698780487805
qfd_event_gap_ratio,0.096282944,0.6705285668124374
qfd_av_latest_surprise_vs_trailing_pct_abs,0.096180305,8.699729146341465
av_trailing_4q_eps_surprise_pct_std,0.09489024,10.897026536981976
qfd_av_surprise_pct_consistency,0.093885034,1.1863442401162938
av_trailing_4q_eps_surprise_std,0.09262341,0.0793706025828392
qfd_av_revision_acceleration,0.08421552,0.07525000000000001
qfd_av_revision_plus_surprise,0.0831282,11.442185365853659
qfd_v2_cfo_to_net_income_d1,0.08031483,4.170509016492438
av_latest_prior_eps_surprise_pct_before_event,0.07840211,11.421416463414634
working_capital_to_total_assets,0.07552412,-164.17387749007236
qfd_v2_operating_margin_d1_zsec,0.07243799,0.054323066956010205
qfd_v2_debt_to_assets_zsec,0.072061755,-0.08529458896019898
revenue_growth_qoq,0.070711546,0.7605996535652333
accruals_ratio,0.070471704,-8.10146347476612
qfd_delta_revenue_growth_qoq,0.070170306,-0.21455223911574672
av_latest_quarterly_revenue_estimate_before_event,0.06982775,12880751199.024393
av_trailing_4q_eps_surprise_pct_mean,0.06906431,9.358962097560976
qfd_delta_net_margin,0.06796592,-0.09733788516733437
quick_ratio,0.066947564,-3.1670550276232228
debt_to_assets,0.066608384,12.97953727521564
roe,0.06384332,-1.7789600984231049
qfd_av_revision_x_surprise,0.05901389,0.061737935609756156
qfd_delta_operating_margin,0.058255278,-0.21861705720245678
asset_turnover,0.057648472,318.27552991556706
qfd_av_revision_breadth_pressure,0.057070326,0.0002720943297497269
leverage_change_qoq,0.055763263,-14.614621485756507
