layer,layer_title,model_name,AUROC,F1-Score,Log Loss,n_folds
L1,Layer 1,logistic_regression,0.49979840699271216,0.4737916414294367,0.724530930601364,5
L1,Layer 1,random_forest,0.4865586239389293,0.45405134077885495,0.7031564829696038,5
L1,Layer 1,hist_gradient_boosting,0.5011643469481504,0.5001418068925384,0.867092638322587,5
L1,Layer 1,xgboost,0.48778869582966566,0.4723696633034775,0.8178946090406984,5
L1,Layer 1,catboost,0.5148271080838344,0.47067140645880806,0.823377073625635,5
L1_L2,Layer 1+2,logistic_regression,0.4941305870673623,0.48509795761181457,0.7758643332005588,5
L1_L2,Layer 1+2,random_forest,0.5270835620948522,0.4937876393759968,0.6978868290932926,5
L1_L2,Layer 1+2,hist_gradient_boosting,0.5195761901288327,0.5187586839136097,0.8899456467777597,5
L1_L2,Layer 1+2,xgboost,0.5303563259045674,0.5243939798574638,0.8119324297500095,5
L1_L2,Layer 1+2,catboost,0.5483032080756831,0.527012231352758,0.8188566227578956,5
L1_L2_L3,Layer 1+2+3,logistic_regression,0.4988547976787099,0.4960296012535726,0.8437763303552888,5
L1_L2_L3,Layer 1+2+3,random_forest,0.5051887949792577,0.4967203587914499,0.7008562701818988,5
L1_L2_L3,Layer 1+2+3,hist_gradient_boosting,0.501204962953212,0.48991987582717156,0.9185495076259533,5
L1_L2_L3,Layer 1+2+3,xgboost,0.5017886236400149,0.49223577391721635,0.8361033005977913,5
L1_L2_L3,Layer 1+2+3,catboost,0.5406962004504965,0.5408706078685541,0.8192883621057533,5
