feature,mean_abs_shap,mean_feature_value
beta_63d_to_sector,0.260493,0.9109422819367607
sec_positive_prob,0.15760492,0.09214797674304377
rel_return_10d,0.15406798,0.010192147247357052
cash_ratio,0.14593728,-0.02177033854973344
log_volume,0.13497424,15.392298937472768
vol_ratio_21d_63d,0.11160535,1.0049473772638693
realized_vol_21d,0.1067492,0.013704566066170952
rel_return_5d,0.104461215,0.008192616970123957
volume_ratio_20d,0.10273609,1.4913330829181846
abs_return_shock_1d,0.098050624,0.014444284822513762
fund_snapshot_is_current_event,0.09690104,0.7445255474452555
realized_vol_63d,0.09275292,0.013654837512527801
days_since_prior_same_event_type,0.088946626,179.78832116788323
sec_negative_prob,0.087932914,0.20263231625739678
roe,0.086658545,-0.9543195404837288
rel_return_21d,0.08599391,0.009155063963093927
roa,0.08350592,15.082425400588956
sec_chunk_count,0.0784246,79.83941605839416
overnight_gap_1d,0.07827428,-0.0016175742603207676
cfo_to_net_income,0.077774204,5.31539261017791
sec_positive_change_prev,0.076895386,-0.005624473328518608
debt_to_equity,0.074885085,-0.14566603167671413
quick_ratio,0.073533565,-3.0437476135736845
earnings_growth_qoq,0.0708885,1.054423173538242
sec_negative_change_prev,0.0706658,0.0042327668719048025
working_capital_to_total_assets,0.069987915,-117.11952902979858
sec_sentiment_score,0.06394142,-0.11045072140348872
sec_sentiment_change_prev,0.0638256,-0.009899095247370485
sec_neutral_prob,0.059527036,0.7043960098802609
debt_to_assets,0.058264297,9.588927511254653
current_ratio,0.04504778,0.9181346260501616
days_since_prior_event,0.044857938,91.41956204379562
asset_turnover,0.044588357,283.2779289474382
long_term_debt_ratio,0.043424506,49.60301778359348
drawdown_21d,0.037829548,-0.0295576213124512
net_margin,0.037474755,1.0197728344109105
growth_quality_profile_score,0.035820015,0.4914841849148418
revenue_growth_qoq,0.035771903,0.8019057867134674
return_zscore_21d,0.034773428,-0.04762712822291491
current_filing_fundamentals_available,0.0343652,0.7445255474452555
operating_margin,0.031408813,1.3144315060050218
sec_sentiment_abs,0.030766355,0.11647748479470067
sec_log_chunk_count,0.02626138,4.247300878952482
overall_financial_health_score,0.022617953,0.44419099756691
accruals_ratio,0.020546569,-17.970115623224697
liquidity_profile_score,0.017026452,0.13017031630170317
profitability_profile_score,0.014666906,0.6313868613138686
solvency_profile_score,0.0032817835,0.5644768856447688
abnormal_volume_flag,0.0,0.39416058394160586
