feature,mean_abs_shap,mean_feature_value
volume_ratio_20d,0.208543,1.4611324593930073
vol_ratio_21d_63d,0.1596585,1.0217555999882098
earnings_growth_qoq,0.15958591,1.2297975471110159
revenue_growth_qoq,0.14220357,1.0042457546794092
av_eps_estimate_analyst_count_before_event,0.13789006,16.257425742574256
drawdown_21d,0.13384977,-0.027395177210212757
realized_vol_63d,0.13178912,0.013766086650281522
av_trailing_4q_eps_surprise_pct_std,0.13106264,10.043860766670555
av_trailing_4q_eps_surprise_mean,0.11720057,0.1028712871287129
abs_return_shock_1d,0.11371054,0.014786956466323017
av_latest_prior_eps_surprise_pct_before_event,0.11274166,9.144604455445545
log_volume,0.10637526,15.369337470596504
overnight_gap_1d,0.10015822,-0.0004988895346799971
av_trailing_4q_eps_surprise_pct_mean,0.09137023,8.845030148514855
sec_negative_prob,0.09067272,0.1996838838835754
av_trailing_4q_eps_surprise_std,0.08647196,0.08499194517475779
av_days_since_last_earnings_release,0.08563299,26.613861386138613
av_latest_quarterly_eps_estimate_before_event,0.08433751,1.196138613861386
days_since_prior_event,0.08390376,91.97306930693068
quick_ratio,0.083074525,-3.0996513673058432
roa,0.08285095,19.389275305311518
working_capital_to_total_assets,0.08136082,-98.8236751878332
rel_return_5d,0.08049852,0.005845932703933668
beta_63d_to_sector,0.07949459,0.9334973022227051
long_term_debt_ratio,0.07531083,60.284887218163625
sec_neutral_prob,0.07113915,0.7058805333505763
debt_to_assets,0.07094867,7.741351057032186
return_zscore_21d,0.066783965,0.0739869828047895
rel_return_10d,0.064782895,0.008984926555010887
cash_ratio,0.05421359,-0.03968605126608632
sec_positive_change_prev,0.049791563,-0.0070262656475205245
sec_negative_change_prev,0.048183843,0.00452362295867192
sec_sentiment_change_prev,0.047316406,-0.011657594531626986
roe,0.045994665,-0.4610526275562048
sec_sentiment_abs,0.043794155,0.11223784842039689
av_latest_prior_eps_surprise_before_event,0.043757055,0.102990099009901
rel_return_21d,0.040270466,0.007582758788341764
av_revenue_estimate_analyst_count_before_event,0.038983528,13.445544554455445
days_since_prior_same_event_type,0.038212843,196.55445544554456
sec_chunk_count,0.036356125,85.4059405940594
realized_vol_21d,0.03509083,0.01389603991206761
cfo_to_net_income,0.03333136,4.778096182191626
asset_turnover,0.032554924,308.7747276972639
operating_margin,0.03228054,1.0917471641760388
av_latest_quarterly_revenue_estimate_before_event,0.03108029,13675560693.069302
debt_to_equity,0.030788522,0.599482313782753
current_ratio,0.027322691,0.9056894292738296
accruals_ratio,0.02677603,-11.4907838437151
net_margin,0.024443863,0.7821402306029474
sec_positive_prob,0.022050627,0.09364812934605199
sec_sentiment_score,0.021612268,-0.10635481783511617
growth_quality_profile_score,0.020513352,0.5132013201320131
av_eps_estimate_revision_90d,0.020410549,-0.07857425742574256
av_trailing_4q_eps_beat_rate,0.019634081,0.8316831683168316
solvency_profile_score,0.017548436,0.5940594059405941
av_eps_estimate_revision_30d,0.016382199,0.0035445544554455473
overall_financial_health_score,0.015320235,0.45915841584158423
sec_log_chunk_count,0.014332141,4.302130768250668
current_filing_fundamentals_available,0.012301579,0.6633663366336634
profitability_profile_score,0.009869929,0.6361386138613861
liquidity_profile_score,0.0053526554,0.1485148514851485
abnormal_volume_flag,0.0,0.36633663366336633
fund_snapshot_is_current_event,0.0,0.6633663366336634
