feature,mean_abs_shap,mean_feature_value
drawdown_21d,0.19775446,-0.027395177210212757
return_zscore_21d,0.1977225,0.0739869828047895
earnings_growth_qoq,0.16919929,1.2297975471110159
revenue_growth_qoq,0.14332217,1.0042457546794092
av_trailing_4q_eps_surprise_pct_std,0.13952422,10.043860766670555
qfd_av_revision_x_surprise,0.13085352,0.07121176237623768
vol_ratio_21d_63d,0.13019043,1.0217555999882098
qfd_av_latest_surprise_vs_trailing_pct,0.13009629,-0.8459201633663361
av_latest_prior_eps_surprise_pct_before_event,0.12082763,9.144604455445545
realized_vol_63d,0.102079846,0.013766086650281522
beta_63d_to_sector,0.10180094,0.9334973022227051
roa,0.0982932,19.389275305311518
days_since_prior_event,0.09806149,91.97306930693068
av_trailing_4q_eps_surprise_pct_mean,0.09330851,8.845030148514855
av_days_since_last_earnings_release,0.09040013,26.613861386138613
qfd_av_estimate_breadth_mean,0.08527434,14.838613861386136
av_eps_estimate_analyst_count_before_event,0.083889335,16.257425742574256
long_term_debt_ratio,0.08290984,60.284887218163625
cash_ratio,0.08197111,-0.03968605126608632
av_trailing_4q_eps_surprise_std,0.08114031,0.08499194517475779
working_capital_to_total_assets,0.077814125,-98.8236751878332
quick_ratio,0.07693427,-3.0996513673058432
roe,0.07029322,-0.4610526275562048
debt_to_assets,0.06692518,7.741351057032186
av_trailing_4q_eps_surprise_mean,0.0648733,0.1028712871287129
rel_return_21d,0.060455814,0.007582758788341764
asset_turnover,0.058751695,308.7747276972639
qfd_av_revision_acceleration,0.057674438,0.07356435643564357
qfd_av_surprise_pct_consistency,0.056061644,1.1235781893973695
qfd_av_surprise_consistency,0.055504855,0.08978048944978977
av_latest_quarterly_eps_estimate_before_event,0.05504252,1.196138613861386
qfd_delta_net_margin,0.054230843,-0.04722737016762701
realized_vol_21d,0.049337074,0.01389603991206761
qfd_delta_operating_margin,0.0469088,-0.05086059825148615
debt_to_equity,0.046744786,0.599482313782753
current_ratio,0.045896526,0.9056894292738296
cfo_to_net_income,0.044412255,4.778096182191626
av_latest_quarterly_revenue_estimate_before_event,0.04392558,13675560693.069302
days_since_prior_same_event_type,0.04058283,196.55445544554456
accruals_ratio,0.039581582,-11.4907838437151
net_margin,0.038845524,0.7821402306029474
av_revenue_estimate_analyst_count_before_event,0.03607541,13.445544554455445
solvency_profile_score,0.032739274,0.5940594059405941
qfd_av_revision_breadth_pressure,0.029550243,0.0003057922518448424
profitability_profile_score,0.028864745,0.6361386138613861
operating_margin,0.027630348,1.0917471641760388
qfd_event_gap_ratio,0.02573633,0.6326799361226865
qfd_av_revision_pressure,0.022341996,0.0002709837643869273
qfd_delta_overall_financial_health_score,0.021103814,0.009674092409240925
av_latest_prior_eps_surprise_before_event,0.020511776,0.102990099009901
qfd_log_days_since_last_earnings_release,0.020381812,2.0953609954902124
qfd_profile_delta_combo,0.019387031,0.029443069306930702
qfd_av_surprise_x_financial_health,0.019245919,3.5782568514851523
av_trailing_4q_eps_beat_rate,0.019124856,0.8316831683168316
overall_financial_health_score,0.018916091,0.45915841584158423
qfd_event_gap_difference,0.017950753,-104.34653465346534
qfd_log_days_since_prior_event,0.017323794,4.518463681372007
qfd_margin_delta_combo,0.016801417,-0.0811867248883352
qfd_log_days_since_prior_same_event_type,0.015704934,5.112016542898229
av_eps_estimate_revision_90d,0.0140251275,-0.07857425742574256
growth_quality_profile_score,0.011606303,0.5132013201320131
liquidity_profile_score,0.01032888,0.1485148514851485
qfd_delta_profitability_profile_score,0.009358198,0.0165016501650165
qfd_delta_liquidity_profile_score,0.007931245,-0.018151815181518153
qfd_delta_solvency_profile_score,0.0056129876,0.009900990099009901
av_eps_estimate_revision_30d,0.004799162,0.0035445544554455473
qfd_delta_growth_quality_profile_score,0.004131116,0.02145214521452145
fund_snapshot_is_current_event,0.0033614573,0.6633663366336634
current_filing_fundamentals_available,0.0021216052,0.6633663366336634
qfd_short_cycle_flag,0.0,0.1485148514851485
qfd_short_same_type_cycle_flag,0.0,0.44554455445544555
