feature_name,feature_family,feature_type,feature_version
qfd_av_estimate_breadth_mean,legacy_delta,delta,qfd_v1
qfd_av_latest_surprise_above_trailing_flag,legacy_delta,delta,qfd_v1
qfd_av_latest_surprise_vs_trailing_pct,legacy_delta,delta,qfd_v1
qfd_av_latest_surprise_vs_trailing_pct_abs,legacy_delta,delta,qfd_v1
qfd_av_latest_surprise_vs_trailing_pct_bucket,legacy_delta,delta,qfd_v1
qfd_av_revision_acceleration,legacy_delta,delta,qfd_v1
qfd_av_revision_breadth_pressure,legacy_delta,delta,qfd_v1
qfd_av_revision_direction_flag,legacy_delta,delta,qfd_v1
qfd_av_revision_magnitude_bucket,legacy_delta,delta,qfd_v1
qfd_av_revision_plus_surprise,legacy_delta,delta,qfd_v1
qfd_av_revision_pressure,legacy_delta,delta,qfd_v1
qfd_av_revision_surprise_same_sign_flag,legacy_delta,delta,qfd_v1
qfd_av_revision_x_growth_quality,legacy_delta,delta,qfd_v1
qfd_av_revision_x_surprise,legacy_delta,delta,qfd_v1
qfd_av_revision_x_surprise_capped,legacy_delta,delta,qfd_v1
qfd_av_surprise_consistency,legacy_delta,delta,qfd_v1
qfd_av_surprise_consistency_bucket,legacy_delta,delta,qfd_v1
qfd_av_surprise_pct_consistency,legacy_delta,delta,qfd_v1
qfd_av_surprise_x_financial_health,legacy_delta,delta,qfd_v1
qfd_av_trailing_surprise_pct_std_bucket,legacy_delta,delta,qfd_v1
qfd_av_trailing_surprise_pct_std_clipped,legacy_delta,delta,qfd_v1
qfd_delta_accruals_ratio,legacy_delta,delta,qfd_v1
qfd_delta_asset_turnover,legacy_delta,delta,qfd_v1
qfd_delta_earnings_growth_qoq,legacy_delta,delta,qfd_v1
qfd_delta_growth_quality_profile_score,legacy_delta,delta,qfd_v1
qfd_delta_liquidity_profile_score,legacy_delta,delta,qfd_v1
qfd_delta_net_margin,legacy_delta,delta,qfd_v1
qfd_delta_operating_margin,legacy_delta,delta,qfd_v1
qfd_delta_overall_financial_health_score,legacy_delta,delta,qfd_v1
qfd_delta_profitability_profile_score,legacy_delta,delta,qfd_v1
qfd_delta_revenue_growth_qoq,legacy_delta,delta,qfd_v1
qfd_delta_roa,legacy_delta,delta,qfd_v1
qfd_delta_solvency_profile_score,legacy_delta,delta,qfd_v1
qfd_event_gap_difference,legacy_delta,delta,qfd_v1
qfd_event_gap_ratio,legacy_delta,delta,qfd_v1
qfd_growth_delta_combo,legacy_delta,delta,qfd_v1
qfd_log_days_since_last_earnings_release,legacy_delta,delta,qfd_v1
qfd_log_days_since_prior_event,legacy_delta,delta,qfd_v1
qfd_log_days_since_prior_same_event_type,legacy_delta,delta,qfd_v1
qfd_margin_delta_combo,legacy_delta,delta,qfd_v1
qfd_prior_event_gap_bucket,legacy_delta,delta,qfd_v1
qfd_prior_same_type_gap_bucket,legacy_delta,delta,qfd_v1
qfd_profile_delta_combo,legacy_delta,delta,qfd_v1
qfd_short_cycle_flag,legacy_delta,delta,qfd_v1
qfd_short_same_type_cycle_flag,legacy_delta,delta,qfd_v1
qfd_v2_earnings_growth_yoy_accel,acceleration,acceleration,qfd_v2
qfd_v2_net_margin_accel,acceleration,acceleration,qfd_v2
qfd_v2_operating_margin_accel,acceleration,acceleration,qfd_v2
qfd_v2_revenue_growth_yoy_accel,acceleration,acceleration,qfd_v2
qfd_v2_accruals_ratio_zsec,cross_sectional,cross_sectional,qfd_v2
qfd_v2_debt_to_assets_d1_ranksec,cross_sectional,cross_sectional,qfd_v2
qfd_v2_debt_to_assets_zsec,cross_sectional,cross_sectional,qfd_v2
qfd_v2_operating_margin_d1_ranksec,cross_sectional,cross_sectional,qfd_v2
qfd_v2_operating_margin_d1_zsec,cross_sectional,cross_sectional,qfd_v2
qfd_v2_profitability_profile_score_ranksec,cross_sectional,cross_sectional,qfd_v2
qfd_v2_roa_zsec,cross_sectional,cross_sectional,qfd_v2
qfd_v2_accruals_ratio_d1,delta,delta,qfd_v2
qfd_v2_cfo_to_net_income_d1,delta,delta,qfd_v2
qfd_v2_cfo_to_net_income_d4,delta,delta,qfd_v2
qfd_v2_debt_to_assets_d1,delta,delta,qfd_v2
qfd_v2_earnings_growth_yoy_d4,delta,delta,qfd_v2
qfd_v2_gross_margin_d1,delta,delta,qfd_v2
qfd_v2_net_margin_d1,delta,delta,qfd_v2
qfd_v2_operating_margin_d1,delta,delta,qfd_v2
qfd_v2_revenue_growth_yoy_d4,delta,delta,qfd_v2
qfd_v2_roa_d1,delta,delta,qfd_v2
qfd_v2_working_capital_to_total_assets_d1,delta,delta,qfd_v2
qfd_v2_accruals_ratio_lvl,level,level,qfd_v2
qfd_v2_cfo_to_net_income_lvl,level,level,qfd_v2
qfd_v2_debt_to_assets_lvl,level,level,qfd_v2
qfd_v2_earnings_growth_yoy_lvl,level,level,qfd_v2
qfd_v2_gross_margin_lvl,level,level,qfd_v2
qfd_v2_net_margin_lvl,level,level,qfd_v2
qfd_v2_operating_margin_lvl,level,level,qfd_v2
qfd_v2_revenue_growth_yoy_lvl,level,level,qfd_v2
qfd_v2_roa_lvl,level,level,qfd_v2
qfd_v2_working_capital_to_total_assets_lvl,level,level,qfd_v2
qfd_v2_cfo_to_net_income_stb4q,stability,stability,qfd_v2
qfd_v2_earnings_growth_yoy_stb4q,stability,stability,qfd_v2
qfd_v2_net_margin_pos_count_stb4q,stability,stability,qfd_v2
qfd_v2_net_margin_stb4q,stability,stability,qfd_v2
qfd_v2_operating_margin_pos_count_stb4q,stability,stability,qfd_v2
qfd_v2_operating_margin_stb4q,stability,stability,qfd_v2
qfd_v2_revenue_growth_yoy_stb4q,stability,stability,qfd_v2
