model_name,fold_label,evaluation_role,rank,feature,importance_mean
logistic_regression,fold_1,validation,1,qfd_v3_total_debt_to_assets_d1,1.158828621365046
logistic_regression,fold_1,validation,2,qfd_v2_debt_to_assets_zsec,1.0677339685676097
logistic_regression,fold_1,validation,3,qfd_es_sentiment_entropy,0.8322735745353046
logistic_regression,fold_2,validation,1,qfd_v2_debt_to_assets_zsec,1.1930331340984508
logistic_regression,fold_2,validation,2,qfd_delta_overall_financial_health_score,1.1472772446803254
logistic_regression,fold_2,validation,3,qfd_delta_solvency_profile_score,1.0217790552445876
logistic_regression,fold_3,validation,1,qfd_es_sentiment_entropy,0.9937907676017114
logistic_regression,fold_3,validation,2,av_trailing_4q_eps_surprise_pct_mean,0.935770712840273
logistic_regression,fold_3,validation,3,qfd_delta_overall_financial_health_score,0.8111846535645436
logistic_regression,fold_4,validation,1,av_trailing_4q_eps_surprise_pct_std,1.5634329153297157
logistic_regression,fold_4,validation,2,qfd_es_sentiment_entropy,1.303040915485025
logistic_regression,fold_4,validation,3,qfd_prior_same_type_gap_bucket,1.0627446916192225
logistic_regression,fold_5,validation,1,qfd_prior_same_type_gap_bucket,1.4098938246920054
logistic_regression,fold_5,validation,2,av_trailing_4q_eps_surprise_pct_std,1.2905994350400527
logistic_regression,fold_5,validation,3,qfd_es_sentiment_entropy,1.019192184686531
logistic_regression,holdout,holdout_eval,1,qfd_es_sentiment_entropy,1.2051488767835419
logistic_regression,holdout,holdout_eval,2,qfd_prior_same_type_gap_bucket,1.0827380311193142
logistic_regression,holdout,holdout_eval,3,av_revenue_estimate_analyst_count_before_event,1.0819998884844821
random_forest,fold_1,validation,1,av_trailing_4q_eps_surprise_pct_mean,0.05313032545768274
random_forest,fold_1,validation,2,revenue_growth_qoq,0.047250895042543005
random_forest,fold_1,validation,3,qfd_es_sentiment_entropy,0.044384255604724684
random_forest,fold_2,validation,1,qfd_av_surprise_pct_consistency,0.04926836250710475
random_forest,fold_2,validation,2,av_trailing_4q_eps_surprise_pct_mean,0.04676214340029658
random_forest,fold_2,validation,3,earnings_growth_qoq,0.04139842065552507
random_forest,fold_3,validation,1,qfd_av_surprise_consistency,0.03312818078296585
random_forest,fold_3,validation,2,qfd_av_surprise_pct_consistency,0.03033156581487945
random_forest,fold_3,validation,3,qfd_es_filing_sentiment_score,0.029698635816966506
random_forest,fold_4,validation,1,av_trailing_4q_eps_surprise_pct_mean,0.03151047898752495
random_forest,fold_4,validation,2,qfd_av_surprise_pct_consistency,0.028430329295715408
random_forest,fold_4,validation,3,qfd_es_sentiment_entropy,0.027019075184120153
random_forest,fold_5,validation,1,qfd_av_surprise_pct_consistency,0.032400024096381375
random_forest,fold_5,validation,2,av_trailing_4q_eps_surprise_pct_mean,0.028704865737592962
random_forest,fold_5,validation,3,av_latest_prior_eps_surprise_pct_before_event,0.022841771351409794
random_forest,holdout,holdout_eval,1,qfd_av_surprise_pct_consistency,0.027958794143739595
