Company Name,Exchange:Ticker,Ticker,Company Type,Primary Exchange,Secondary Listings,Geographic Locations,Market Cap USDmm Latest,Security Tickers,Primary Sector,Industry Classifications,Headquarters Country/Region,CIK,Equity Currency
NVIDIA Corporation,NasdaqGS:NVDA,NVDA,Public Company,Nasdaq Global Select (NasdaqGS),-,United States of America (Primary),4850453.4,NasdaqGS:NVDA; SET:NVDA06; SET:NVDA23; SET:NVDA80; SET:NVDA01; SET:NVDA19; SET:NVDA03; SNSE:NVDACL; SNSE:NVDA; SWX:NVDA; SWX:994529; TSX:NVDA; WBAG:NVDA; WSE:NVDA; XTRA:NVD; BASE:NVDA; BASE:NVDAD; BIT:1NVDA; BMV:NVDA *; BOVESPA:NVDC34; BUL:NVD; BVC:NVDACO; BVL:NVDA; DB:NVDG; DB:NVD0; DB:NVD; KAS:NVDA_KZ; LSE:0R1I,Information Technology,"Information Technology (Primary); Semiconductors (Primary); Semiconductors and Semiconductor Equipment (Primary); Semiconductors and Semiconductor Equipment (Primary); Application Software; Artificial Intelligence Software; Co-location/Data Centers; Internet Services and Infrastructure; IT Services; Software; Software and Services; Software Research ; Systems Software; Technology Hardware and Equipment; Technology Hardware, Storage and Peripherals; Technology Hardware, Storage and Peripherals",United States,0001045810,US Dollar
Alphabet Inc.,NasdaqGS:GOOGL,GOOGL,Public Company,Nasdaq Global Select (NasdaqGS),"NasdaqGS:GOOG
Company: Alphabet Inc.
(IQT260152426) - Nasdaq Global Select (NasdaqGS)",United States of America (Primary),4093353.0,NasdaqGS:GOOGL; NasdaqGS:GOOG; SET:GOOG80; SET:GOOGL01; SET:GOOGL03; SET:GOOG23; SNSE:GOOGL; SNSE:GOOG; SNSE:GOOGCL; SNSE:GOOGLCL; SWX:GOOGL; SWX:GOOG; SWX:GOOGL; TSX:GOOG; WBAG:GOOC; WBAG:GOOA; WSE:GOGL; XTRA:ABEA; XTRA:ABEC; BASE:GOOGL; BASE:GOGLD; BIT:1GOOGL; BIT:1GOOG; BMV:GOOG *; BMV:GOOGL *; BOVESPA:GOGL35; BOVESPA:GOGL34; BUL:ABEC; BUL:ABEA; BVC:GOOGLCO; BVL:GOOGL; BVL:GOOG; DB:ABEA; DB:ABEC; DB:ABE0; DB:ABE; KAS:GOOG_KZ; LSE:0HD6; LSE:0RIH,Communication Services,"Communication Services (Primary); Interactive Media and Services (Primary); Interactive Media and Services (Primary); Media and Entertainment (Primary); Online Services (Primary); Advertising; Alternative Carriers; Application Hosting Services; Application Service Providers (ASPs); Application Software; Broadband Telecommunications Services; Broadcast Advertising; Commercial and Professional Services; Diversified Telecommunication Services; Entertainment; Entertainment Venues; Financial Services; Financial Services; Financials; Health Care; Health Care Equipment and Services; Health Care Technology; Health Care Technology; Industrials; Information Technology; Infrastructure Services; Internet Advertising; Internet Services and Infrastructure; Investment Services and Holding Companies; IT Services; Media; Movies and Entertainment; Multi-Sector Holdings; Online Entertainment; Patent Owners and Lessors; Professional Services; Research and Consulting Services; Research, Development, and Testing Services; Software; Software and Services; Technology Hardware and Equipment; Technology Hardware, Storage and Peripherals; Technology Hardware, Storage and Peripherals; Telecommunication Services",United States,0001652044,US Dollar
Apple Inc.,NasdaqGS:AAPL,AAPL,Public Company,Nasdaq Global Select (NasdaqGS),-,United States of America (Primary),4014264.1,NasdaqGS:AAPL; SET:AAPL80; SET:AAPL01; SET:AAPL03; SET:AAPL19; SNSE:AAPL; SNSE:AAPLCL; SWX:AAPL; TSX:AAPL; WBAG:AAPL; WSE:AAPL; XTRA:APC; BASE:AAPL; BASE:AAPLD; BIT:1AAPL; BMV:AAPL *; BOVESPA:AAPL34; BUL:APC; BVC:AAPLCO; BVL:AAPL; DB:APC; DB:APC8; DB:APC0; KAS:AAPL_KZ; LSE:0R2V,Information Technology,"Computer Components (Primary); Data Storage (Primary); Information Technology (Primary); Mobile Telephones (Primary); Personal Computers And Accessories (Primary); Technology Hardware and Equipment (Primary); Technology Hardware, Storage and Peripherals (Primary); Technology Hardware, Storage and Peripherals (Primary); Wireless Telephone Equipment (Primary); Apparel, Accessories and Luxury Goods; Audio Equipment; Communication Services; Computer and Electronics Retail; Consumer Discretionary; Consumer Discretionary Distribution and Retail; Consumer Durables and Apparel; Consumer Electronics; Consumer Electronics Peripherals; Consumer Finance; Consumer Finance; Digital Music Recorders; Electronic Equipment, Instruments and Components; Financial Services; Financial Services; Financials; Household Durables; Information Technology (IT) Consulting; Interactive Media and Services; Interactive Media and Services; Internet Merchant Services; Investment Services and Holding Companies; IT Consulting and Other Services; IT Services; Jewelry, Timepieces and Gemstone Products; Media and Entertainment; MP3 Players; Multi-Sector Holdings; Online Computer Hardware and Software Retail; Online Consumer Electronics Retail; Online Services; Patent Owners and Lessors; Payment Wallets; Software and Services; Specialty Retail; Technology Distributors; Textiles, Apparel and Luxury Goods; Timepieces; Transaction and Payment Processing Services; Watches",United States,0000320193,US Dollar
Microsoft Corporation,NasdaqGS:MSFT,MSFT,Public Company,Nasdaq Global Select (NasdaqGS),-,United States of America (Primary),3087205.3,NasdaqGS:MSFT; SET:MSFT03; SET:MSFT23; SET:MSFT80; SET:MSFT01; SET:MSFT06; SET:MSFT19; SNSE:MSFTCL; SNSE:MSFT; SWX:MSFT; SWX:000951692; TSX:MSFT; WBAG:MSFT; WSE:MSFT; XTRA:MSF; BASE:MSFT; BASE:MSFTD; BIT:1MSFT; BMV:MSFT *; BOVESPA:MSFT34; BUL:MSF; BVC:MSFTCO; BVL:MSFT; DB:MSF; DB:MSF0; DB:MSF1; KAS:MSFT_KZ; LSE:0QYP,Information Technology,"Artificial Intelligence Software (Primary); Automation Products and Services (Primary); Desktop PC Software (Primary); Development Tools (Primary); Handheld Software (Primary); Information Technology (Primary); Operating System Software (Primary); Server Software (Primary); Software (Primary); Software and Services (Primary); Software Development (Primary); Software Research  (Primary); Systems Software (Primary); Wireless Devices Software (Primary); Advertising; Application Hosting Services; Application Service Providers (ASPs); Application Software; Broadcast Advertising; Browser Software; Communication Services; Computer and Computer Software Stores; Computer and Electronics Retail; Computer and Mobile Games; Console Platforms; Consumer Discretionary; Consumer Discretionary Distribution and Retail; Consumer Services; Customer Relationship Management (CRM); Customer Relationship Management (CRM) Software; Desktop Computers; Diversified Consumer Services; Document Creation Software; E-mail Software; Education Services; Enterprise Applications; Enterprise Resource Planning (ERP); Enterprise Software; Entertainment; Entertainment Software; Game Controllers; Information Management Software; Information Technology (IT) Consulting; Interactive Home Entertainment; Internet Advertising; Internet Software; IT Consulting and Other Services; IT Services; Keyboards And Pointing Devices; Laptop Computers; Media; Media and Entertainment; Office and Home Productivity Software; Office Software Suites; Online Computer Hardware and Software Retail; Personal Computers And Accessories; Personal Mobile Applications; Search Engine Software; Servers; Specialty Educational Services; Specialty Retail; Supply Chain Management Software; Technology Hardware and Equipment; Technology Hardware, Storage and Peripherals; Technology Hardware, Storage and Peripherals; Web Servers; Word Processing, Presentation and Spreadsheet Software",United States,0000789019,US Dollar
"Amazon.com, Inc.",NasdaqGS:AMZN,AMZN,Public Company,Nasdaq Global Select (NasdaqGS),-,United States of America (Primary),2743194.5,NasdaqGS:AMZN; SET:AMZN80; SET:AMZN01; SET:AMZN06; SET:AMZN03; SET:AMZN23; SNSE:AMZN; SNSE:AMZNCL; SWX:AMZN; TSX:AMZN; WBAG:AMZN; WSE:AMZN; XTRA:AMZ; BASE:AMZN; BASE:AMZND; BIT:1AMZN; BMV:AMZN *; BOVESPA:AMZO34; BUL:AMZ; BVC:AMZNCO; BVL:AMZN; DB:AMZ; DB:AMZ1; DB:AMZ0; KAS:AMZN_KZ; LSE:0R1O,Consumer Discretionary,Broadline Retail (Primary); Broadline Retail (Primary); Consumer Discretionary (Primary); Consumer Discretionary Distribution and Retail (Primary); General Merchandise Stores (Primary); Online Broadline Retail (Primary); Advertising; Broadcast Advertising; Communication Services; Consumer Durables and Apparel; Consumer Electronics; Data Management; Data Storage Services; Entertainment; Entertainment Venues; Household Durables; Information Technology; Infrastructure Services; Internet Advertising; Internet Services and Infrastructure; IT Services; Marketing Services; Media; Media and Entertainment; Movies and Entertainment; Multimedia Streaming Services; Networking Services; Online Entertainment; Software and Services,United States,0001018724,US Dollar
Broadcom Inc.,NasdaqGS:AVGO,AVGO,Public Company,Nasdaq Global Select (NasdaqGS),-,United States of America (Primary),1988276.6,NasdaqGS:AVGO; SET:AVGO80; SET:AVGO23; SNSE:AVGO; SNSE:AVGOCL; SWX:AVGO; TSX:AVGO; WBAG:BROA; XTRA:1YD; BASE:AVGO; BASE:AVGOD; BIT:1AVGO; BMV:AVGO *; BOVESPA:AVGO34; BVL:AVGO; DB:1YD; DB:1YD0; DB:1YD1; LSE:0YXG,Information Technology,"Analog and Mixed Signal (Primary); Digital (Primary); Information Technology (Primary); Logic Devices (Primary); Semiconductors (Primary); Semiconductors and Semiconductor Equipment (Primary); Semiconductors and Semiconductor Equipment (Primary); Amplifier; Application Software; Communications Equipment; Communications Equipment; Data Storage; Electronic Capacitors, Resistors and Diodes ; Electronic Components; Electronic Components; Electronic Equipment and Instruments; Electronic Equipment, Instruments and Components; Enterprise Software; Measuring, Analyzing, and Controlling Instruments; Networking Equipment; Optical Devices; Optical Storage Systems; Optoelectronics; Security Software; Software; Software and Services; Systems Software; Technology Hardware and Equipment; Technology Hardware, Storage and Peripherals; Technology Hardware, Storage and Peripherals",United States,0001730168,US Dollar
"Meta Platforms, Inc.",NasdaqGS:META,META,Public Company,Nasdaq Global Select (NasdaqGS),-,United States of America (Primary),1673201.7,NasdaqGS:META; SET:META06; SET:META23; SET:META80; SET:META01; SNSE:META; SNSE:METACL; SWX:META; TSX:META; WBAG:META; WSE:META; XTRA:FB2A; BASE:META; BASE:METAD; BASE:IVW; BASE:IVWD; BIT:1FB; BMV:META *; BOVESPA:M1TA34; BUL:FB2A; BVC:METACO; BVL:META; DB:FB2A; DB:FB20; DB:FB2; KAS:META_KZ; LSE:0QZI,Communication Services,B2B Commerce (Primary); Business-to-Business (B2B) (Primary); Communication Services (Primary); Interactive Media and Services (Primary); Interactive Media and Services (Primary); Media and Entertainment (Primary); Online Services (Primary); Social Media and Networking Platforms (Primary); Application Software; Financial Services; Financial Services; Financials; Information Technology; Internet Merchant Services; Software; Software and Services; Transaction and Payment Processing Services,United States,0001326801,US Dollar
"Tesla, Inc.",NasdaqGS:TSLA,TSLA,Public Company,Nasdaq Global Select (NasdaqGS),-,United States of America (Primary),1403589.1,NasdaqGS:TSLA; SET:TSLA80; SET:TSLA01; SET:TSLA03; SET:TSLA23; SNSE:TSLA; SNSE:TSLACL; SWX:TSLA; SWX:011448018; TSX:TSLA; WBAG:TSLA; WSE:TSLA; XTRA:TL0; BASE:TSLA; BASE:TSLAD; BIT:1TSLA; BMV:TSLA *; BOVESPA:TSLA34; BUL:TL0; BVC:TSLACO; BVL:TSLA; DB:TL0; DB:TL01; DB:TL00; KAS:TSLA_KZ; LSE:0R0X,Consumer Discretionary,Automobile Manufacturers (Primary); Automobiles (Primary); Automobiles and Components (Primary); Consumer Discretionary (Primary); Light Truck and Sport Utility Vehicles (SUVs) (Primary); Artificial Intelligence Software; Automobile Components; Automotive Parts and Equipment; Automotive Retail; Batteries; Business Credit Agencies; Capital Goods; Commercial and Professional Services; Commercial Rental and Leasing Services; Commercial Services and Supplies; Consumer Discretionary Distribution and Retail; Consumer Services; Credit Agencies; Diversified Consumer Services; Diversified Support Services; Electric Power By Solar Energy; Electrical Components and Equipment; Electrical Equipment; Finance Leasing; Financial Services; Financial Services; Financials; Independent Power and Renewable Electricity Producers; Industrials; Information Technology; Insurance; Insurance; Insurance Brokers; Motor Vehicle Dealers (New); Motor Vehicle Dealers (Used); Motor Vehicle Insurance; Motor Vehicle Repair and Services; Motor Vehicle Retail; Online Motor Vehicle Retail; Personal Property Insurance; Property; Property and Casualty Insurance; Renewable Electricity; Semiconductors; Semiconductors and Semiconductor Equipment; Semiconductors and Semiconductor Equipment; Software; Software and Services; Software Research ; Specialized Consumer Services; Specialized Finance; Specialty Retail; Systems Software; Utilities; Utilities,United States,0001318605,US Dollar
Walmart Inc.,NasdaqGS:WMT,WMT,Public Company,Nasdaq Global Select (NasdaqGS),-,United States of America (Primary),1052596.3,NasdaqGS:WMT; SET:WMT06; SNSE:WMT; SNSE:WALMARTCL; SWX:WMT; TSX:WMT; WBAG:WMT; XTRA:WMT; BASE:WMT; BASE:WMTD; BIT:1WMT; BMV:WMT *; BOVESPA:WALM34; BVL:WMT; DB:WMTD; DB:WMT0; DB:WMT; LSE:0R1W,Consumer Staples,Consumer Staples (Primary); Consumer Staples Distribution and Retail (Primary); Consumer Staples Distribution and Retail (Primary); Consumer Staples Merchandise Retail (Primary); Hypermarkets and Super Centers (Primary); Warehouse Clubs (Primary); Apparel Retail; Automotive Retail; Broadline Retail; Broadline Retail; Consumer Discretionary; Consumer Discretionary Distribution and Retail; Consumer Finance; Consumer Finance; Convenience Stores; Discount Stores; Drug Retail; Drug Stores and Pharmacies; Financial Services; Financials; Food Retail; Full Stock Supermarkets; Funds Transfer and Exchange Services; Gasoline Service Stations; General Merchandise Stores; Grocery Stores; Health Care; Health Care Equipment and Services; Health Care Providers and Services; Health Care Services; Leisure Equipment Stores; Medical Doctor Specialist Services; Oil and Gas Retail; Online Broadline Retail; Online Drug Retail and Pharmacies; Online Food Retail; Online General Merchandise Retail; Online Grocery Retail; Online Musical Instrument Retail; Online Specialty Retail; Ophthalmology Services; Other Specialty Retail; Personal Credit Agencies; Specialty Retail,United States,0000104169,US Dollar
Berkshire Hathaway Inc.,NYSE:BRK.A,BRK.A,Public Company,New York Stock Exchange (NYSE),"NYSE:BRK.B
Company: Berkshire Hathaway Inc.
(IQT2594158) - New York Stock Exchange (NYSE)",United States of America (Primary),1015089.5,NYSE:BRK.A; NYSE:BRK.B; SET:BRKB80; SNSE:BRKBCL; SNSE:BRKB; SWX:BRK; SWX:BRK.A; TSX:BRK; WBAG:BRKA; WBAG:BRKB; WSE:BRKB; XTRA:BRYN; BASE:BRKB; BIT:1BRK; BMV:BRKB *; BOVESPA:BERK34; BUL:BRYN; BVC:BRKBCO; BVL:BRK/B; DB:BRYN; DB:BRH; DB:BRHF; DB:BRH0; LSE:0HN0; LSE:0R37,Financials,"Financial Services (Primary); Financial Services (Primary); Financials (Primary); Investment Services and Holding Companies (Primary); Multi-Sector Holdings (Primary); Patent Owners and Lessors (Primary); Aerospace and Defense; Aerospace and Defense; Air Freight and Logistics; Air Freight and Logistics; Aircraft Systems, Components and Equipment; Apparel; Apparel Retail; Apparel, Accessories and Luxury Goods; Appliance Stores; Asset Management and Custody Banks; Automobile Manufacturers; Automobiles; Automobiles and Components; Automotive Retail; Batteries; Broadcasting; Building Products; Building Products; Capital Goods; Capital Markets; Casualty Reinsurance Carriers; Chemicals; Coal and Consumable Fuels; Communication Services; Computer and Computer Software Stores; Computer and Electronics Retail; Construction Materials; Construction Materials; Consumer Discretionary; Consumer Discretionary Distribution and Retail; Consumer Durables and Apparel; Consumer Electronics Stores; Consumer Services; Consumer Staples; Consumer Staples Distribution and Retail; Consumer Staples Distribution and Retail; Diversified Consumer Services; Education Services; Electric Power By Solar Energy; Electric Power By Wind Energy; Electric Power Distribution; Electric Power Generation By Fossil Fuels; Electric Power Generation By Nuclear Fuels; Electric Power Transmission and Control; Electric Utilities; Electric Utilities; Electrical Components and Equipment; Electrical Equipment; Energy; Energy; Flooring; Food Distribution; Food Distributors; Gas Utilities; Gas Utilities; Gift and Novelty Stores; Groceries and Related Product Distribution; Ground Transportation; Health and Medical Reinsurance Carriers; Hobbies, Toys and Games; Home Improvement Retail; Household Product Stores; Hydroelectric Power Generation; Independent Power and Renewable Electricity Producers; Industrial Machinery and Supplies and Components; Industrials; Insurance; Insurance; Jewelry; Jewelry Stores; Jewelry, Timepieces and Gemstone Products; Leisure Products; Leisure Products; Life and Health Insurance; Life Reinsurance Carriers; Machinery; Materials; Materials; Media; Media and Entertainment; Metal Cutting Machine Tools; Metalworking Machinery and Equipment; Motor Vehicle Rental and Leasing; Motor Vehicle Retail; Natural Gas Transmission; Oil and Gas Distribution; Oil, Gas and Consumable Fuels; Other Specialty Retail; Paints, Varnishes, and Lacquers; Passenger Ground Transportation; Property and Casualty Insurance; Rail Transportation; Railroad Transportation of Freight; Recreational Vehicles; Reinsurance; Renewable Electricity; Roofing, Siding, and Insulation Materials; Specialty Chemicals; Specialty Educational Services; Specialty Retail; Sporting and Recreational Goods; Television; Textiles, Apparel and Luxury Goods; Trading Companies and Distributors; Trading Companies and Distributors; Transportation; Utilities; Utilities; Watch and Timepiece Stores",United States,0001067983,US Dollar
