ticker,company_name,exchange,country,sector,industry_classifications,market_cap_usd_mm,cik
MO,"Altria Group, Inc.",NYSE,United States,Consumer Staples,"Chewing, Pipe Tobacco And Snuff (Primary); Cigarettes (Primary); Cigars (Primary); Consumer Staples (Primary); Food, Beverage and Tobacco (Primary); Tobacco (Primary); Tobacco (Primary)",111777.5,0000764180
ADM,Archer-Daniels-Midland Company,NYSE,United States,Consumer Staples,"Agricultural Products and Services (Primary); Cash Grains (Primary); Consumer Staples (Primary); Corn (Primary); Food Products (Primary); Food, Beverage and Tobacco (Primary); Grain And Field Beans (Primary); Oilseed Farms (Primary); Wheat (Primary); Alcohol; Animal Feed; Biochemical Polymers; Bread and Bakery Products; Butter and Margarine; Capital Markets; Chemicals; Commodity Chemicals; Consumer Staples Distribution and Retail; Consumer Staples Distribution and Retail; Dairy Products; Dairy Products and Eggs; Dietary Foods; Edible Oils; Energy; Energy; Financial Services; Financial Services; Financials; Flour; Food Distributors; Grain Mill Products; Household and Personal Products; Industrial Organic Chemicals; Insurance; Insurance; Insurance Brokers; Investment Banking and Brokerage; Materials; Materials; Oil and Gas Refining and Marketing; Oil, Gas and Consumable Fuels; Packaged Foods and Meats; Paper and Forest Products; Paper Manufacturing; Paper Products; Personal Care Products; Personal Care Products; Polymers; Prepared and Preserved Foods; Pulp Mills; Securities and Commodities Markets Services; Soybean Oil; Specialized Finance; Sweeteners; Syrup; Vegetable Oil; Vitamins and Nutritional Supplements",33361.6,0000007084
BF-B,Brown-Forman Corporation,NYSE,United States,Consumer Staples,"Alcohol Cocktails and Drink Mixes (Primary); Beverages (Primary); Consumer Staples (Primary); Distillers and Vintners (Primary); Food, Beverage and Tobacco (Primary); Spirits and Liquors (Primary); Wine (Primary); Commercial and Professional Services; Commercial Services and Supplies; Industrials; Office Services and Supplies; Outsourced Business Services; Packaging and Labeling Services",12985.9,0000014693
BG,Bunge Global SA,NYSE,United States,Consumer Staples,"Agricultural Products and Services (Primary); Cash Grains (Primary); Consumer Staples (Primary); Corn (Primary); Food Products (Primary); Food, Beverage and Tobacco (Primary); Grain And Field Beans (Primary); Soybeans (Primary); Wheat (Primary); Alternative Energy Resources; Biofuels; Cane Sugar; Consumer Staples Distribution and Retail; Consumer Staples Distribution and Retail; Edible Oils; Flour; Food Distribution; Food Distributors; Grain Mill Products; Independent Power and Renewable Electricity Producers; Olive Oil; Packaged Foods and Meats; Renewable Electricity; Soybean Oil; Sugar; Sweeteners; Utilities; Utilities; Vegetable Oil",24206.9,0001996862; 0001144519
CHD,"Church & Dwight Co., Inc.",NYSE,United States,Consumer Staples,"Animal Care Products (Primary); Cat Litter (Primary); Cleaning Products (Primary); Consumer Staples (Primary); Household and Personal Products (Primary); Household Products (Primary); Household Products (Primary); Laundry Products (Primary); Soaps (Primary); Baking Mixes and Supplies; Beauty Care Products; Bread and Bakery Products; Chemicals; Condoms; Dental Care Products; Deodorants and Antiperspirants; Family Planning Products; Feminine Care Products; Food Products; Food, Beverage and Tobacco; Hair Care Products; Health Care; Health Care Equipment; Health Care Equipment and Services; Health Care Equipment and Supplies; Materials; Materials; Medical Testing, Analyzing, and Diagnostic Equipment; Packaged Foods and Meats; Personal Care Products; Personal Care Products; Pregnancy Test Kits; Skin Care Products; Specialty Chemicals; Vitamins and Nutritional Supplements",22507.9,0000313927
CL,Colgate-Palmolive Company,NYSE,United States,Consumer Staples,"Cleaning Products (Primary); Consumer Staples (Primary); Dishwashing Detergents (Primary); Floor Cleaners and Waxes (Primary); Household and Personal Products (Primary); Household Products (Primary); Household Products (Primary); Laundry Products (Primary); Soaps (Primary); Animal Feed; Beauty Care Products; Cat Food; Dental Care Products; Deodorants and Antiperspirants; Dog Food; Food Products; Food, Beverage and Tobacco; Hair Care Products; Health Care; Packaged Foods and Meats; Personal Care Products; Personal Care Products; Pharmaceutical Products; Pharmaceuticals; Pharmaceuticals; Pharmaceuticals, Biotechnology and Life Sciences; Skin Care Products; Veterinary Drugs",67914.9,0000021665
CAG,"Conagra Brands, Inc.",NYSE,United States,Consumer Staples,"Consumer Staples (Primary); Food Products (Primary); Food, Beverage and Tobacco (Primary); Frozen Foods (Primary); Packaged Foods and Meats (Primary); Prepared and Preserved Foods (Primary); Sauces And Salad Dressings (Primary); Seasonings and Preservatives (Primary); Snack Food (Primary)",6779.5,0000023217
STZ,"Constellation Brands, Inc.",NYSE,United States,Consumer Staples,"Beverages (Primary); Consumer Staples (Primary); Distillers and Vintners (Primary); Food, Beverage and Tobacco (Primary); Spirits and Liquors (Primary); Wine (Primary); Alcoholic Beverage and Tobacco Distribution; Alcoholic Beverage Distribution; Beer, Ale and Malt Beverages; Brewers; Consumer Discretionary; Consumer Discretionary Distribution and Retail; Distributors; Distributors; Non-Durable Goods Distribution",26858.9,0000016918
COST,Costco Wholesale Corporation,NasdaqGS,United States,Consumer Staples,"Consumer Staples (Primary); Consumer Staples Distribution and Retail (Primary); Consumer Staples Distribution and Retail (Primary); Consumer Staples Merchandise Retail (Primary); Warehouse Clubs (Primary); Automotive Retail; Broadline Retail; Broadline Retail; Consumer Discretionary; Consumer Discretionary Distribution and Retail; Consumer Services; Drug Retail; Drug Stores and Pharmacies; Gasoline Service Stations; Health Care; Health Care Equipment and Services; Health Care Providers and Services; Health Care Services; Healthcare and Medical Supply Stores; Hotels, Resorts and Cruise Lines; Hotels, Restaurants and Leisure; Motor Vehicle Parts, Accessories, and Related Retail Services; Motor Vehicle Tire Stores; Oil and Gas Retail; Online Broadline Retail; Online General Merchandise Retail; Online Specialty Retail; Optical Goods and Eyeglass Stores; Other Specialty Retail; Restaurants; Specialty Retail; Travel and Tourism Services",448599.3,0000734198; 0000909832; 0001393231
DG,Dollar General Corporation,NYSE,United States,Consumer Staples,Consumer Staples (Primary); Consumer Staples Distribution and Retail (Primary); Consumer Staples Distribution and Retail (Primary); Consumer Staples Merchandise Retail (Primary); Broadline Retail; Broadline Retail; Consumer Discretionary; Consumer Discretionary Distribution and Retail; Discount Stores; General Merchandise Stores,26583.5,0000029534
